Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
South Africa,ZAF,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,43.103,44.092,41.997,43.807,42.58,43.458,47.021,43.19,49.563,49.571
South Sudan,SSD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.136,11.493,11.072,11.01,11.01,10.584,10.531,10.759,11.05,..
South Sudan,SSD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,..,..,..,..,..,..,..,..,..,..
South Sudan,SSD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.740757859,38.39161729,36.65134928,..,..,..,..,..,..,..
South Sudan,SSD,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,..,3786902659,2519330000,1646810000,2374922000,3094570000,3641120000,2344430000,4651960000,5811003000
South Sudan,SSD,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,..,..,-0.008584907,..,..,..,..,..,..,..
South Sudan,SSD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-4.303591748,0.007418779,0.001250229,..,..,..,..,..,..,..
South Sudan,SSD,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..,-1035825.73,-1180000,5880000,40561000,-60140000,2210000,..,..,..
South Sudan,SSD,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,..,..,-1030000,-1970000,41981000,..,..,..,..,..
South Sudan,SSD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,9.010103006,2.384898534,-10.64207441,..,..,..,..,..,..,..
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,1659.140787,1245.149311,1071.777765,..,..,..,..,..,..,..
